식당 ID,상호명,음식이 맛있어요 (표),2위 항목,2위 득표수 (표),2위 대비 배율 (배),득표 격차 (표),네이버 지도 링크
2028562136,띵하우,29,재료가 신선해요,17,1.71,12,https://m.place.naver.com/restaurant/2028562136
2020193796,피스호로록,24,친절해요,14,1.71,10,https://m.place.naver.com/restaurant/2020193796
1108625845,연남 칼국수,2355,양이 많아요,1384,1.7,971,https://m.place.naver.com/restaurant/1108625845
1484798126,우탕 연남 본점,1463,재료가 신선해요,862,1.7,601,https://m.place.naver.com/restaurant/1484798126
1080811064,스시지현,942,재료가 신선해요,555,1.7,387,https://m.place.naver.com/restaurant/1080811064
1231745266,전주상회,851,인테리어가 멋져요,502,1.7,349,https://m.place.naver.com/restaurant/1231745266
1902678054,연금술,46,인테리어가 멋져요,27,1.7,19,https://m.place.naver.com/restaurant/1902678054
1900969739,코지로 아자스 이대,613,인테리어가 멋져요,362,1.69,251,https://m.place.naver.com/restaurant/1900969739
38301272,중화복춘,577,특별한 메뉴가 있어요,342,1.69,235,https://m.place.naver.com/restaurant/38301272
1549524831,도부,215,친절해요,127,1.69,88,https://m.place.naver.com/restaurant/1549524831
1085451324,야키토리 나루토 홍대,118,친절해요,70,1.69,48,https://m.place.naver.com/restaurant/1085451324
1716208849,하나노세이슌,88,인테리어가 멋져요,52,1.69,36,https://m.place.naver.com/restaurant/1716208849
1272032081,홍복,61,가성비가 좋아요,36,1.69,25,https://m.place.naver.com/restaurant/1272032081
1129896368,양식구옥,5927,인테리어가 멋져요,3521,1.68,2406,https://m.place.naver.com/restaurant/1129896368
1810003724,곱창파는고깃집 공덕본점,1394,고기 질이 좋아요,829,1.68,565,https://m.place.naver.com/restaurant/1810003724
380995011,우동카덴,1330,양이 많아요,791,1.68,539,https://m.place.naver.com/restaurant/380995011
1134308512,육면달,298,재료가 신선해요,177,1.68,121,https://m.place.naver.com/restaurant/1134308512
1560785276,희로,131,가성비가 좋아요,78,1.68,53,https://m.place.naver.com/restaurant/1560785276
1532395497,진청유점,4095,재료가 신선해요,2458,1.67,1637,https://m.place.naver.com/restaurant/1532395497
1168445377,꼬요식당,1202,기본 안주가 좋아요,720,1.67,482,https://m.place.naver.com/restaurant/1168445377
1345504483,연희곰탕,1073,재료가 신선해요,643,1.67,430,https://m.place.naver.com/restaurant/1345504483
18799565,바다회사랑 연남점,984,재료가 신선해요,590,1.67,394,https://m.place.naver.com/restaurant/18799565
1136436599,플롭 연남,887,인테리어가 멋져요,531,1.67,356,https://m.place.naver.com/restaurant/1136436599
674179089,오복수산시장,482,재료가 신선해요,289,1.67,193,https://m.place.naver.com/restaurant/674179089
2011133385,온행,280,재료가 신선해요,168,1.67,112,https://m.place.naver.com/restaurant/2011133385
1205779129,토리키조쿠 홍대본점,107,가성비가 좋아요,64,1.67,43,https://m.place.naver.com/restaurant/1205779129
1098294053,인생건어물 연희점,45,기본 안주가 좋아요,27,1.67,18,https://m.place.naver.com/restaurant/1098294053
2098439910,제인버거,30,친절해요,18,1.67,12,https://m.place.naver.com/restaurant/2098439910
1270040444,씨케이브,2255,특별한 메뉴가 있어요,1355,1.66,900,https://m.place.naver.com/restaurant/1270040444
1237104695,카멜로연남,2010,인테리어가 멋져요,1213,1.66,797,https://m.place.naver.com/restaurant/1237104695
11663081,철길왕갈비살,1948,고기 질이 좋아요,1171,1.66,777,https://m.place.naver.com/restaurant/11663081
1113972362,옥자,1732,재료가 신선해요,1046,1.66,686,https://m.place.naver.com/restaurant/1113972362
218413355,카덴,333,특별한 메뉴가 있어요,201,1.66,132,https://m.place.naver.com/restaurant/218413355
2015166472,카마 연남점,258,인테리어가 멋져요,155,1.66,103,https://m.place.naver.com/restaurant/2015166472
1304934400,해브 연남 파스타,1698,재료가 신선해요,1026,1.65,672,https://m.place.naver.com/restaurant/1304934400
1219039149,마우디 브런치,1160,재료가 신선해요,705,1.65,455,https://m.place.naver.com/restaurant/1219039149
1038777225,중화복춘 골드,387,특별한 메뉴가 있어요,234,1.65,153,https://m.place.naver.com/restaurant/1038777225
20123242,가마마루이라멘,311,혼밥하기 좋아요,188,1.65,123,https://m.place.naver.com/restaurant/20123242
1216066656,랑트 연남,4015,인테리어가 멋져요,2449,1.64,1566,https://m.place.naver.com/restaurant/1216066656
37411506,젠틀키친,393,특별한 메뉴가 있어요,240,1.64,153,https://m.place.naver.com/restaurant/37411506
1317035739,카나데,270,특별한 메뉴가 있어요,165,1.64,105,https://m.place.naver.com/restaurant/1317035739
1301688032,론도론도,180,특별한 메뉴가 있어요,110,1.64,70,https://m.place.naver.com/restaurant/1301688032
1638198230,용뱅이,141,친절해요,86,1.64,55,https://m.place.naver.com/restaurant/1638198230
1185506401,잇스시,1461,재료가 신선해요,894,1.63,567,https://m.place.naver.com/restaurant/1185506401
1189970521,왕소야 홍대점,1085,재료가 신선해요,665,1.63,420,https://m.place.naver.com/restaurant/1189970521
1093809527,우미집 연남,989,인테리어가 멋져요,607,1.63,382,https://m.place.naver.com/restaurant/1093809527
1152277974,연덮,612,재료가 신선해요,375,1.63,237,https://m.place.naver.com/restaurant/1152277974
2056509070,담양식 육미향 마포연남점,402,고기 질이 좋아요,246,1.63,156,https://m.place.naver.com/restaurant/2056509070
1647986759,연희별밥,124,재료가 신선해요,76,1.63,48,https://m.place.naver.com/restaurant/1647986759
36283337,피자앤플랫,85,가성비가 좋아요,52,1.63,33,https://m.place.naver.com/restaurant/36283337
2017470412,남솥연남동솥뚜껑,62,재료가 신선해요,38,1.63,24,https://m.place.naver.com/restaurant/2017470412
1976526195,교장맥주 홍대입구역점,2923,기본 안주가 좋아요,1799,1.62,1124,https://m.place.naver.com/restaurant/1976526195
1478636575,쿳사 연희,2350,재료가 신선해요,1448,1.62,902,https://m.place.naver.com/restaurant/1478636575
2144911618,종로돈부리 연남,1068,재료가 신선해요,660,1.62,408,https://m.place.naver.com/restaurant/2144911618
1177738283,청백,767,재료가 신선해요,472,1.62,295,https://m.place.naver.com/restaurant/1177738283
1133569343,장가닭갈비 연희직영점,107,친절해요,66,1.62,41,https://m.place.naver.com/restaurant/1133569343
20502569,묘한술책,34,친절해요,21,1.62,13,https://m.place.naver.com/restaurant/20502569
1629339009,리차드하우스 연남,2105,인테리어가 멋져요,1308,1.61,797,https://m.place.naver.com/restaurant/1629339009
1521280467,업투미,1640,재료가 신선해요,1017,1.61,623,https://m.place.naver.com/restaurant/1521280467
1447063578,꿀돼지집,1422,고기 질이 좋아요,881,1.61,541,https://m.place.naver.com/restaurant/1447063578
1133500880,로앤쿡드 더브런치,1279,재료가 신선해요,796,1.61,483,https://m.place.naver.com/restaurant/1133500880
2066012270,체보파스타바,397,재료가 신선해요,246,1.61,151,https://m.place.naver.com/restaurant/2066012270
2026629211,엘까르니따스 연남점,318,재료가 신선해요,197,1.61,121,https://m.place.naver.com/restaurant/2026629211
1214986169,맡기다,95,친절해요,59,1.61,36,https://m.place.naver.com/restaurant/1214986169
1490548135,무겐스위치,760,혼밥하기 좋아요,475,1.6,285,https://m.place.naver.com/restaurant/1490548135
2000605317,토오리,80,재료가 신선해요,50,1.6,30,https://m.place.naver.com/restaurant/2000605317
1537918661,연어롭다,2499,재료가 신선해요,1571,1.59,928,https://m.place.naver.com/restaurant/1537918661
1878921414,한합 합정,442,술이 다양해요,278,1.59,164,https://m.place.naver.com/restaurant/1878921414
1602729572,스시미가쿠,62,가성비가 좋아요,39,1.59,23,https://m.place.naver.com/restaurant/1602729572
1993015448,춘장포차 홍대입구역점,2287,가성비가 좋아요,1450,1.58,837,https://m.place.naver.com/restaurant/1993015448
1401001726,광야,1978,인테리어가 멋져요,1250,1.58,728,https://m.place.naver.com/restaurant/1401001726
1252808612,연남주막1987,1248,술이 다양해요,791,1.58,457,https://m.place.naver.com/restaurant/1252808612
1950070220,우아하게 연남점,859,인테리어가 멋져요,542,1.58,317,https://m.place.naver.com/restaurant/1950070220
38738511,작은스페인,731,인테리어가 멋져요,463,1.58,268,https://m.place.naver.com/restaurant/38738511
1098697502,핑퐁서울,228,인테리어가 멋져요,144,1.58,84,https://m.place.naver.com/restaurant/1098697502
1643628597,리향,167,재료가 신선해요,106,1.58,61,https://m.place.naver.com/restaurant/1643628597
18750721,황금성,19,친절해요,12,1.58,7,https://m.place.naver.com/restaurant/18750721
1258564823,팔계집,2102,고기 질이 좋아요,1343,1.57,759,https://m.place.naver.com/restaurant/1258564823
1206369946,연남취향,1311,인테리어가 멋져요,835,1.57,476,https://m.place.naver.com/restaurant/1206369946
1469012129,라아,557,친절해요,355,1.57,202,https://m.place.naver.com/restaurant/1469012129
2002097250,로위즘 뭉티기육회 연남,44,인테리어가 멋져요,28,1.57,16,https://m.place.naver.com/restaurant/2002097250
1275815754,비스트로 오라,1578,친절해요,1012,1.56,566,https://m.place.naver.com/restaurant/1275815754
1458553422,엄마식탁,125,재료가 신선해요,80,1.56,45,https://m.place.naver.com/restaurant/1458553422
